2026-06-14 06:37:02 | INFO     | gemini_service | Initializing Vertex AI Client for project gencode-497110 in us-central1...
2026-06-14 07:04:09 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 07:04:09 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 07:04:12 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 07:13:42 | ERROR    | gemini_service | Error receiving from Gemini: received 1000 (OK) The operation was cancelled.; then sent 1000 (OK) The operation was cancelled.
2026-06-14 07:17:58 | ERROR    | websocket | Error sending to Gemini: received 1000 (OK) The operation was cancelled.; then sent 1000 (OK) The operation was cancelled.
2026-06-14 07:17:58 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 07:18:01 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 07:18:08 | INFO     | websocket | Frontend client disconnected
2026-06-14 07:18:08 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 15:22:36 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 15:22:36 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 15:22:37 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 15:23:18 | INFO     | gemini_service | [LATENCY] First audio chunk received in 21 ms
2026-06-14 15:23:19 | INFO     | gemini_service | [LATENCY] First audio chunk received in 72 ms
2026-06-14 15:23:19 | INFO     | gemini_service | [LATENCY] First audio chunk received in 149 ms
2026-06-14 15:23:27 | INFO     | gemini_service | [LATENCY] First audio chunk received in 94 ms
2026-06-14 15:23:27 | INFO     | websocket | Frontend client disconnected
2026-06-14 15:23:27 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 15:23:30 | INFO     | gemini_service | Initializing Vertex AI Client for project gencode-497110 in us-central1...
2026-06-14 15:24:00 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 15:24:00 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 15:24:02 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 15:24:12 | INFO     | gemini_service | [LATENCY] First audio chunk received in 92 ms
2026-06-14 15:24:12 | INFO     | gemini_service | [LATENCY] First audio chunk received in 151 ms
2026-06-14 15:24:12 | INFO     | gemini_service | [LATENCY] First audio chunk received in 5 ms
2026-06-14 15:24:25 | INFO     | gemini_service | [LATENCY] First audio chunk received in 166 ms
2026-06-14 15:24:25 | INFO     | gemini_service | [LATENCY] First audio chunk received in 35 ms
2026-06-14 15:24:26 | INFO     | gemini_service | [LATENCY] First audio chunk received in 7 ms
2026-06-14 15:25:23 | INFO     | websocket | Frontend client disconnected
2026-06-14 15:25:23 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 15:25:25 | INFO     | gemini_service | Initializing Vertex AI Client for project gencode-497110 in us-central1...
2026-06-14 15:25:25 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 15:25:25 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
